lon	lat	zip
-71.013	43.006	00210
-71.013	43.006	00211
-71.013	43.006	00212
-71.013	43.006	00213
-71.013	43.006	00214
-71.013	43.006	00215
-72.637	40.922	00501
-72.637	40.922	00544
-66.723	18.165	00601
-67.181	18.393	00602
-67.146	18.456	00603
-67.136	18.494	00604
-67.141	18.465	00605
-66.944	18.173	00606
-67.140	18.289	00610
-66.802	18.280	00611
-66.698	18.451	00612
-66.733	18.458	00613
-66.675	18.430	00614
-66.641	18.445	00616
-66.544	18.447	00617
-67.187	17.999	00622
-67.150	18.062	00623
-66.726	18.024	00624
-66.855	18.478	00627
-66.865	18.269	00631
-67.040	18.113	00636
-66.935	18.087	00637
-66.472	18.336	00638
-66.699	18.250	00641
-66.282	18.436	00646
-66.940	17.970	00647
-66.562	18.360	00650
-66.603	18.457	00652
-66.899	17.972	00653
-66.787	18.023	00656
-66.809	18.481	00659
-67.135	18.145	00660
-67.028	18.480	00662
-66.598	18.218	00664
-67.056	18.015	00667
-66.882	18.296	00669
-66.991	18.252	00670
-66.490	18.446	00674
-67.081	18.384	00676
-67.253	18.336	00677
-66.934	18.453	00678
-67.508	18.219	00680
-67.508	18.219	00681
-67.508	18.219	00682
-67.040	18.113	00683
-66.972	18.324	00685
-66.415	18.317	00687
-66.675	18.430	00688
-67.140	18.476	00690
-66.339	18.436	00692
-66.398	18.443	00693
-66.398	18.443	00694
-66.861	18.061	00698
-66.128	18.250	00703
-66.139	17.992	00704
-66.269	18.128	00705
-65.899	18.007	00707
-66.041	17.968	00714
-66.564	18.012	00715
-66.607	18.002	00716
-66.607	18.002	00717
-65.778	18.221	00718
-66.230	18.298	00719
-66.394	18.227	00720
-65.778	18.364	00721
-66.011	18.010	00723
-66.058	18.213	00725
-66.058	18.213	00726
-66.607	18.002	00728
-65.884	18.333	00729
-66.607	18.002	00730
-66.626	18.038	00731
-66.614	18.022	00732
-66.619	18.019	00733
-66.644	17.999	00734
-65.595	18.265	00735
-66.139	18.103	00736
-66.139	18.103	00737
-65.611	18.359	00738
-66.170	18.181	00739
-65.639	18.332	00740
-65.753	18.162	00741
-65.595	18.265	00742
-65.743	18.206	00744
-65.817	18.367	00745
-66.265	17.999	00751
-65.962	18.188	00754
-66.396	17.991	00757
-65.460	18.123	00765
-66.497	18.121	00766
-65.887	18.046	00767
-66.351	18.096	00769
-65.872	18.197	00771
-65.899	18.447	00772
-65.708	18.366	00773
-65.296	18.324	00775
-65.902	18.206	00777
-65.975	18.259	00778
-66.607	18.002	00780
-66.220	18.225	00782
-66.331	18.304	00783
-66.139	17.992	00784
-66.796	18.019	00785
-66.269	18.128	00786
-65.788	18.138	00791
-65.788	18.138	00792
-66.307	18.201	00794
-66.493	17.997	00795
-64.964	18.322	00801
-64.964	18.322	00802
-64.964	18.322	00803
-64.964	18.322	00804
-64.964	18.322	00805
-64.735	17.734	00820
-64.735	17.734	00821
-64.735	17.734	00822
-64.735	17.734	00823
-64.735	17.734	00824
-64.741	18.328	00830
-64.741	18.328	00831
-64.735	17.734	00840
-64.735	17.734	00841
-64.735	17.734	00850
-64.735	17.734	00851
-66.104	18.466	00901
-66.061	18.410	00902
-66.061	18.410	00906
-66.077	18.452	00907
-66.061	18.410	00908
-66.068	18.443	00909
-66.061	18.410	00910
-66.058	18.451	00911
-66.060	18.444	00912
-66.043	18.451	00913
-66.061	18.410	00914
-66.048	18.438	00915
-66.061	18.410	00916
-66.051	18.422	00917
-66.062	18.419	00918
-66.061	18.410	00919
-66.092	18.407	00920
-66.066	18.390	00921
-66.061	18.410	00922
-66.037	18.411	00923
-66.011	18.396	00924
-66.050	18.401	00925
-66.063	18.369	00926
-66.072	18.385	00927
-66.061	18.410	00928
-66.061	18.410	00929
-66.061	18.410	00930
-66.061	18.410	00931
-66.061	18.410	00933
-66.166	18.345	00934
-66.061	18.410	00935
-66.061	18.410	00936
-66.061	18.410	00937
-66.061	18.410	00938
-66.061	18.410	00939
-66.061	18.410	00940
-66.200	18.432	00949
-66.197	18.458	00950
-66.197	18.458	00951
-66.197	18.458	00952
-66.257	18.357	00953
-66.258	18.359	00954
-66.061	18.410	00955
-66.174	18.327	00956
-66.184	18.367	00957
-66.166	18.345	00958
-66.159	18.387	00959
-66.166	18.345	00960
-66.169	18.413	00961
-66.140	18.438	00962
-66.139	18.443	00963
-66.115	18.429	00965
-66.115	18.397	00966
-66.061	18.410	00968
-66.114	18.362	00969
-66.112	18.359	00970
-66.114	18.309	00971
-66.061	18.410	00975
-65.989	18.338	00976
-65.990	18.337	00977
-65.990	18.337	00978
-66.061	18.410	00979
-66.061	18.410	00981
-66.061	18.410	00982
-65.978	18.413	00983
-65.972	18.393	00984
-65.939	18.346	00985
-65.972	18.393	00986
-65.960	18.373	00987
-65.972	18.393	00988
-72.789	42.141	01001
-72.465	42.367	01002
-72.636	42.370	01003
-72.513	42.384	01004
-72.139	42.329	01005
-72.402	42.280	01007
-72.958	42.178	01008
-72.340	42.206	01009
-72.204	42.109	01010
-72.953	42.294	01011
-72.826	42.392	01012
-72.667	42.161	01013
-72.605	42.171	01014
-72.563	42.177	01020
-72.605	42.171	01021
-72.554	42.193	01022
-72.910	42.429	01026
-72.769	42.368	01027
-72.499	42.062	01028
-73.052	42.191	01029
-72.798	42.189	01030
-72.206	42.353	01031
-72.819	42.444	01032
-72.504	42.262	01033
-72.952	42.113	01034
-72.577	42.357	01035
-72.418	42.068	01036
-72.225	42.348	01037
-72.643	42.387	01038
-72.682	42.356	01039
-72.642	42.198	01040
-72.605	42.171	01041
-72.904	42.313	01050
-72.704	42.354	01053
-72.468	42.475	01054
-72.627	42.173	01056
-72.282	42.095	01057
-72.636	42.370	01059
-72.769	42.415	01060
-72.636	42.370	01061
-72.845	42.329	01062
-72.640	42.318	01063
-72.634	42.407	01066
-72.059	42.346	01068
-72.315	42.176	01069
-72.958	42.449	01070
-72.865	42.177	01071
-72.440	42.472	01072
-72.728	42.230	01073
-72.149	42.376	01074
-72.582	42.250	01075
-72.541	42.067	01077
-72.330	42.193	01079
-72.518	42.180	01080
-72.214	42.062	01081
-72.549	42.377	01082
-72.199	42.204	01083
-72.871	42.390	01084
-72.502	42.149	01085
-72.848	42.173	01086
-72.647	42.391	01088
-72.645	42.126	01089
-72.605	42.171	01090
-72.229	42.203	01092
-72.653	42.443	01093
-72.141	42.358	01094
-72.490	42.126	01095
-72.822	42.413	01096
-72.846	42.162	01097
-72.896	42.405	01098
-72.605	42.171	01101
-72.605	42.171	01102
-72.591	42.103	01103
-72.568	42.129	01104
-72.578	42.100	01105
-72.568	42.049	01106
-72.587	42.126	01107
-72.558	42.081	01108
-72.549	42.119	01109
-72.605	42.171	01111
-72.605	42.171	01114
-72.592	42.103	01115
-72.605	42.171	01116
-72.523	42.094	01118
-72.527	42.125	01119
-72.487	42.095	01128
-72.489	42.124	01129
-72.605	42.171	01133
-72.605	42.171	01138
-72.605	42.171	01139
-72.592	42.102	01144
-72.513	42.151	01151
-72.605	42.171	01152
-72.605	42.120	01199
-73.248	42.479	01201
-73.228	42.393	01202
-73.228	42.393	01203
-73.172	42.386	01220
-73.319	42.186	01222
-73.103	42.342	01223
-73.228	42.393	01224
-73.127	42.482	01225
-73.089	42.470	01226
-73.093	42.516	01227
-73.344	42.279	01229
-73.267	42.299	01230
-73.222	42.292	01235
-73.359	42.291	01236
-73.235	42.488	01237
-73.267	42.370	01238
-73.220	42.459	01240
-73.251	42.339	01242
-73.010	42.356	01243
-73.254	42.123	01244
-73.206	42.187	01245
-73.186	42.427	01247
-73.446	42.199	01252
-73.090	42.213	01253
-73.238	42.233	01254
-73.149	42.149	01255
-73.129	42.367	01256
-73.268	42.315	01257
-73.361	42.128	01258
-73.279	42.199	01259
-73.313	42.287	01260
-73.330	42.305	01262
-73.228	42.393	01263
-73.198	42.220	01264
-73.265	42.360	01266
-73.258	42.642	01267
-73.116	42.444	01270
-72.624	42.601	01301
-72.624	42.522	01302
-72.738	42.562	01330
-72.184	42.547	01331
-72.643	42.627	01337
-72.769	42.574	01338
-72.666	42.594	01339
-72.823	42.682	01340
-72.710	42.591	01341
-72.608	42.547	01342
-72.986	42.643	01343
-72.554	42.627	01344
-72.789	42.618	01346
-72.518	42.557	01347
-72.706	42.621	01349
-72.976	42.721	01350
-72.487	42.548	01351
-72.624	42.522	01354
-72.534	42.519	01355
-72.528	42.614	01360
-72.557	42.578	01364
-72.183	42.460	01366
-72.716	42.683	01367
-72.196	42.672	01368
-72.624	42.522	01369
-72.759	42.589	01370
-72.682	42.465	01373
-72.701	42.565	01375
-72.718	42.655	01376
-72.340	42.667	01378
-72.437	42.581	01379
-72.393	42.553	01380
-71.817	42.584	01420
-71.921	42.655	01430
-71.459	42.446	01431
-71.459	42.446	01432
-72.084	42.601	01436
-72.029	42.552	01438
-72.026	42.583	01440
-71.897	42.365	01441
